iter	Passed	Remaining
409	4114	5920
410	4122	5908
411	4131	5896
412	4141	5886
413	4149	5873
414	4157	5860
415	4166	5848
416	4174	5836
417	4184	5825
418	4192	5813
419	4200	5800
420	4208	5787
421	4217	5776
422	4226	5765
423	4234	5753
424	4243	5741
425	4250	5727
426	4261	5718
427	4269	5705
428	4278	5694
429	4285	5680
430	4293	5667
431	4303	5658
432	4313	5648
433	4323	5638
434	4335	5631
435	4345	5621
436	4358	5615
437	4367	5604
438	4376	5593
439	4387	5584
440	4397	5574
441	4410	5567
442	4419	5557
443	4429	5546
444	4438	5535
445	4450	5528
446	4460	5518
447	4474	5512
448	4482	5501
449	4492	5491
450	4500	5478
451	4508	5465
452	4519	5457
453	4529	5447
454	4538	5435
455	4547	5424
456	4560	5418
457	4570	5409
458	4580	5398
459	4588	5387
460	4598	5376
461	4607	5365
462	4617	5355
463	4626	5344
464	4635	5333
465	4645	5323
466	4655	5313
467	4665	5303
468	4676	5294
469	4688	5287
470	4700	5279
471	4712	5271
472	4722	5261
473	4732	5251
474	4741	5240
475	4749	5228
476	4764	5223
477	4775	5215
478	4786	5205
479	4796	5196
480	4808	5188
481	4818	5178
482	4828	5168
483	4840	5160
484	4852	5152
485	4861	5141
486	4876	5136
487	4886	5127
488	4897	5117
489	4914	5114
490	4926	5107
491	4940	5101
492	4953	5093
493	4962	5083
494	4982	5082
495	4994	5074
496	5010	5070
497	5021	5061
498	5037	5057
499	5051	5051
500	5060	5040
501	5073	5033
502	5083	5023
503	5092	5011
504	5103	5002
505	5114	4993
506	5124	4982
507	5136	4974
508	5146	4964
509	5155	4952
510	5164	4942
511	5176	4933
512	5187	4925
513	5198	4915
514	5208	4905
515	5217	4893
516	5224	4880
517	5232	4869
518	5241	4858
519	5249	4845
520	5256	4833
521	5264	4820
522	5273	4809
523	5280	4797
524	5287	4784
525	5296	4772
526	5303	4760
527	5314	4750
528	5322	4738
529	5330	4727
530	5339	4716
531	5348	4705
532	5357	4694
533	5367	4683
534	5374	4671
535	5382	4659
536	5390	4647
537	5399	4636
538	5407	4625
539	5415	4612
540	5423	4601
541	5431	4589
542	5438	4577
543	5445	4564
544	5453	4553
545	5461	4541
546	5468	4529
547	5480	4520
548	5490	4510
549	5499	4499
550	5508	4488
551	5521	4481
552	5529	4469
553	5538	4458
554	5551	4451
555	5559	4439
556	5568	4428
557	5579	4419
558	5590	4410
559	5599	4399
560	5608	4388
561	5619	4379
562	5632	4372
563	5642	4361
564	5653	4352
565	5665	4344
566	5673	4332
567	5684	4323
568	5692	4312
569	5705	4304
570	5718	4296
571	5730	4288
572	5739	4276
573	5750	4267
574	5760	4257
575	5767	4245
576	5775	4233
577	5783	4222
578	5791	4211
579	5799	4199
580	5810	4190
581	5820	4180
582	5829	4169
583	5836	4157
584	5845	4147
585	5853	4135
586	5861	4124
587	5869	4112
588	5878	4102
589	5885	4090
590	5894	4079
591	5902	4068
592	5914	4059
593	5922	4047
594	5929	4035
595	5937	4024
596	5945	4013
597	5953	4001
598	5961	3990
599	5973	3982
600	5983	3972
601	5994	3963
602	6004	3953
603	6014	3943
604	6025	3933
605	6038	3926
606	6047	3915
607	6057	3905
608	6064	3893
609	6075	3884
610	6086	3874
611	6094	3863
612	6104	3853
613	6113	3843
614	6123	3833
615	6132	3822
616	6155	3820
617	6162	3809
618	6175	3801
619	6186	3791
620	6194	3780
621	6206	3771
622	6216	3761
623	6225	3751
624	6238	3743
625	6247	3732
626	6255	3721
627	6264	3711
628	6273	3700
629	6283	3690
630	6291	3679
631	6302	3669
632	6309	3657
633	6317	3646
634	6327	3636
635	6336	3626
636	6345	3615
637	6354	3605
638	6365	3596
639	6373	3585
640	6381	3574
641	6394	3565
642	6402	3554
643	6412	3544
644	6420	3533
645	6430	3523
646	6438	3512
647	6449	3503
648	6459	3493
649	6467	3482
650	6477	3472
651	6484	3461
652	6493	3450
653	6503	3440
654	6512	3430
655	6521	3419
656	6529	3408
657	6538	3398
658	6546	3387
659	6558	3378
660	6566	3367
661	6577	3358
662	6586	3347
663	6595	3337
664	6604	3326
665	6612	3316
666	6621	3305
667	6628	3294
668	6638	3284
669	6648	3274
670	6658	3264
671	6668	3254
672	6676	3243
673	6685	3233
674	6693	3222
675	6702	3212
676	6711	3201
677	6722	3192
678	6729	3181
679	6738	3171
680	6747	3160
681	6755	3150
682	6763	3139
683	6772	3128
684	6781	3118
685	6789	3107
686	6797	3096
687	6805	3086
688	6814	3075
689	6822	3065
690	6830	3054
691	6840	3044
692	6851	3035
693	6862	3025
694	6872	3016
695	6882	3006
696	6889	2994
697	6899	2985
698	6908	2974
699	6917	2964
700	6925	2954
701	6934	2943
702	6943	2933
703	6953	2923
704	6962	2913
705	6970	2902
706	6981	2893
707	6990	2882
708	6998	2872
709	7008	2862
710	7017	2852
711	7026	2842
712	7034	2831
713	7044	2821
714	7051	2810
715	7060	2800
716	7068	2790
717	7079	2780
718	7088	2770
719	7096	2759
720	7105	2749
721	7113	2738
722	7122	2728
723	7130	2718
724	7140	2708
725	7149	2698
726	7158	2687
727	7166	2677
728	7174	2666
729	7181	2656
730	7189	2645
731	7200	2636
732	7208	2625
733	7215	2615
734	7224	2604
735	7231	2594
736	7238	2583
737	7245	2572
738	7254	2562
739	7263	2551
740	7271	2541
741	7279	2531
742	7288	2520
743	7297	2510
744	7305	2500
745	7313	2490
746	7325	2480
747	7334	2470
748	7341	2460
749	7351	2450
750	7359	2440
751	7368	2430
752	7376	2419
753	7385	2409
754	7394	2399
755	7405	2390
756	7413	2379
757	7421	2369
758	7430	2359
759	7437	2348
760	7444	2338
761	7451	2327
762	7461	2317
763	7470	2307
764	7478	2297
765	7486	2286
766	7496	2277
767	7504	2266
768	7515	2257
769	7524	2247
770	7533	2237
771	7540	2226
772	7548	2216
773	7557	2206
774	7565	2196
775	7572	2185
776	7581	2175
777	7590	2166
778	7598	2155
779	7607	2145
780	7616	2135
781	7625	2125
782	7632	2115
783	7641	2105
784	7649	2095
785	7656	2084
786	7664	2074
787	7672	2064
788	7682	2054
789	7689	2044
790	7697	2033
791	7707	2024
792	7716	2014
793	7725	2004
794	7735	1994
795	7744	1984
796	7752	1974
797	7761	1964
798	7771	1954
799	7779	1944
800	7786	1934
801	7794	1924
802	7804	1914
803	7812	1904
804	7819	1894
805	7826	1883
806	7835	1873
807	7843	1863
808	7852	1853
809	7859	1843
810	7868	1833
811	7876	1823
812	7885	1813
813	7893	1803
814	7900	1793
815	7908	1783
816	7917	1773
817	7924	1763
818	7932	1753
819	7941	1743
820	7950	1733
821	7957	1723
822	7967	1713
823	7976	1703
824	7985	1693
825	7993	1683
826	8002	1673
827	8010	1663
828	8017	1653
829	8024	1643
830	8031	1633
831	8041	1623
832	8048	1613
833	8056	1603
834	8065	1593
835	8074	1583
836	8082	1573
837	8090	1564
838	8100	1554
839	8108	1544
840	8116	1534
841	8123	1524
842	8132	1514
843	8141	1504
844	8150	1495
845	8162	1485
846	8172	1476
847	8182	1466
848	8193	1457
849	8202	1447
850	8211	1437
851	8221	1428
852	8229	1418
853	8238	1408
854	8248	1398
855	8258	1389
856	8269	1379
857	8279	1370
858	8291	1360
859	8307	1352
860	8339	1346
861	8350	1336
862	8360	1327
863	8372	1317
864	8380	1307
865	8390	1298
866	8400	1288
867	8408	1278
868	8416	1268
869	8427	1259
870	8438	1249
871	8448	1240
872	8458	1230
873	8467	1220
874	8476	1210
875	8487	1201
876	8496	1191
877	8505	1181
878	8515	1172
879	8525	1162
880	8535	1152
881	8543	1143
882	8553	1133
883	8562	1123
884	8570	1113
885	8579	1103
886	8587	1094
887	8596	1084
888	8604	1074
889	8614	1064
890	8622	1054
891	8630	1044
892	8639	1035
893	8648	1025
894	8655	1015
895	8663	1005
896	8672	995
897	8680	985
898	8687	976
899	8695	966
900	8703	956
901	8712	946
902	8722	937
903	8731	927
904	8738	917
905	8746	907
906	8755	897
907	8762	887
908	8769	877
909	8776	868
910	8784	858
911	8792	848
912	8799	838
913	8807	828
914	8817	819
915	8824	809
916	8832	799
917	8841	789
918	8850	780
919	8858	770
920	8866	760
921	8876	750
922	8884	741
923	8890	731
924	8897	721
925	8904	711
926	8912	701
927	8919	692
928	8926	682
929	8934	672
930	8941	662
931	8949	652
932	8955	643
933	8962	633
934	8969	623
935	8975	613
936	8982	603
937	8989	594
938	8998	584
939	9006	574
940	9013	565
941	9020	555
942	9028	545
943	9035	536
944	9041	526
945	9048	516
946	9055	506
947	9062	497
948	9068	487
949	9075	477
950	9082	467
951	9089	458
952	9097	448
953	9104	439
954	9112	429
955	9120	419
956	9129	410
957	9137	400
958	9144	390
959	9150	381
960	9156	371
961	9163	361
962	9170	352
963	9178	342
964	9185	333
965	9193	323
966	9202	314
967	9210	304
968	9218	294
969	9225	285
970	9236	275
971	9245	266
972	9252	256
973	9260	247
974	9268	237
975	9276	228
976	9284	218
977	9294	209
978	9302	199
979	9312	190
980	9322	180
981	9332	171
982	9340	161
983	9347	151
984	9357	142
985	9365	132
986	9373	123
987	9381	113
988	9390	104
989	9397	94
990	9405	85
991	9413	75
992	9422	66
993	9429	56
994	9437	47
995	9454	37
996	9461	28
997	9469	18
998	9476	9
999	9485	0
